slideshow,position,title,body
Lesson #11: Coping,7,Coping Responses: Problem-focused vs. Emotion-focused,"Here are some examples of problem-focused and emotion-focused coping strategies:
 

Situation: You feel disappointed after receiving a bad grade on an exam. Problem-focused coping might involve scheduling time each week to study at the library or asking for advice on how to better prepare for the next test. Emotion-focused coping might involve telling yourself “dwelling on it won’t do any good, so I will go for a bike ride to lift my mood”.

Situation: You learn that your hours are going to be cut at work. Problem-focused coping might involve limiting unnecessary spending, updating your resume, applying for new positions. Emotion-focused coping might involve calling a friend to vent about your frustrations, practice deep breathing, and reframe catastrophic worries about your financial situation

 "
Lesson #11: Coping,8,Step 3: Matching the Coping Strategy to the Situation,"The next step in choosing an effective coping strategy is to match the type of situation (controllable or uncontrollable) with the coping style (problem-focused or emotion-focused).

Changeable or controllable aspects of a stressor are best dealt with using problem-focused behaviors. If there is something you can do to fix the problem, it is usually better to do it.

Unchangeable or uncontrollable aspects of a stressor may be best dealt with by using emotion-focused coping strategies. If you can't fix the problem, then it is better to manage your reaction to the problem.

Essentially, you have to match the coping strategy to the situation. A poor fit, or a mismatch between the stressful situation(controllable vs. uncontrollable) and the coping behaviors used (problem-focused vs. emotion-focused) can lead to increased stress. Most situations have both controllable and uncontrollable aspects, so for most situations you will end up using both problem-focused and emotion-focused strategies."
Lesson #11: Coping,9,Example of Matching the Coping Strategy to the Situation,"For example, if you lose your job, you can express your frustrations about the job loss and exercise to manage stress (emotion-focused coping). However, if you continue to focus on managing your emotions without taking any action towards finding a new job, you are likely to feel more frustrated and upset in the long run. If, on the other hand, you take steps to look for a new job (problem-focused coping) in addition to expressing your feelings and exercising (emotion-focused coping), you are likely to start feeling better."
Lesson #11: Coping,10,Other coping strategies,"Sometimes situations feel so overwhelming that people choose to cope with them by using distraction or denial. These strategies often feel good in the short-run, and may even be helpful when used short-term. In the long-run, however, they are generally ineffective and, in the extreme, may be harmful.

Distraction
Distraction involves temporarily removing your attention from a problem or upsetting emotions. The key to distraction being an effective coping strategy is that it is ""temporary"" and you eventually turn your attention to more active coping strategies. Distraction can be helpful because it can reduce overwhelming emotions so that you are better able to deal directly with the situation later. Examples of healthy distraction techniques include reading a good book, watching a movie, exercise, household chores, treating yourself to a massage, or focusing on your breathing. When distraction is used as a long-term coping strategy, it often leads to more upsetting emotions because it avoids dealing directly with the problem. For example, distracting yourself when you are anxious about an upcoming test by watching a movie might help in the moment and can even be beneficial if it allows you to unwind so that you can study more effectively later. However, if you continue to distract yourself before the exam, you'll be even more anxious because you feel unprepared.

Denial
Denial is a conscious or unconscious attempt to avoid facing a problem or strong emotions.
Examples of denial include, hiding/stuffing your feelings, excessive alcohol use, drug use, overeating, procrastination, missing doctor appointments, or not taking medications. Although these strategies might help you feel better immediately, they can lead to physical and emotional harm in the long-term."
Lesson #11: Coping,11,Lesson #11: Coping,"Acceptance
Sometimes you are left with painful emotions, even after applying the appropriate coping strategies and working through the situation in healthy ways. For example, this is common when we lose someone we care about, either through the end of a relationship or death. So, how do you deal with the remaining pain that is left after you have exhausted your coping efforts? The key is to focus on accepting the painful emotions and allowing yourself to feel them. People often respond to this type of emotional pain or any type of discomfort by building a wall of tightness around it and defending against it. The problem with this strategy is that the more you resist pain, the more it hurts. For example, think about receiving an injection. If it hurts or you anticipate it hurting, you might resist it by tensing your muscles. This only causes the injection to hurt more. And so you have a vicious cycle of pain and resistance.

(Adapted from M. Davis, E. Eshelman, and M. McKay, The Relaxation and Stress Reduction Workbook, 4th ed., Oakland CA: New Harbinger, 1995.)"
Lesson #11: Coping,12,Wrapping Up,"Summary: “Coping” refers to the ways that you deal with stressful situations. This includes both healthy forms of coping, that make you feel better in the short and long-term and unhealthy forms of coping that may or may not make you feel better in the short-term but will often make things worse in the long-term. Developing healthy coping strategies is an important part of managing your depression. It’s useful to break a stressful situations into parts and determine which parts are controllable and which parts are uncontrollable. For controllable stressors, problem-focused coping (directly addressing part or all of the problem) is most effective. For uncontrollable stressors it is often better to use emotion-focused coping that focuses on managing your emotions.   

Moving forward: Practice using the tools available to you to cope with a difficult situation.  Perhaps you could schedule some activities in the Activity Tracker that would be using active coping. Maybe try using the Thought Tracker to find acceptance about a tough problem.  Get creative.  This is your toolbox – use it!"
Summary #11: Coping,1,,"Coping refers to the efforts you make to manage the stressful things in your life, and there are a few steps you can take to help you cope in a healthy and effective way. The first step is to break the problem into smaller parts, and define those parts as controllable or uncontrollable. Then, match each part of the problem with an appropriate response: problem- or emotion-focused. Problem-focused coping strategies are usually best suited for controllable parts of a stressor or problem, while emotion-focused coping strategies work well with uncontrollable aspects. If, after you’ve exhausted all your available coping strategies, you still experience emotional discomfort or pain, it is sometimes helpful to simply accept those emotions. In situations where there are no solutions, as in the loss of a loved one, allowing yourself to feel your emotions can be more of a relief than resisting them."
Lesson #12: Anxiety and Worry,1,,"Most of us get anxious about everyday problems. However, you know you are worrying too much when your worries are constantly on your mind and you notice that you worry about things that others don't. Anxiety can also lead to uncomfortable physical problems such as headaches, fatigue, or stomach discomfort.

In this lesson, you’ll learn:
 -   How to identify unhealthy worry and anxiety.
 -   Skills to manage excessive anxiety.
 "
Lesson #12: Anxiety and Worry,2,Anxiety and Worry,"Feeling sad and depressed often go hand in hand with feeling anxious and worried. In fact, up to 60% of people who have depression also suffer from anxiety. Excessive anxiety can lead to a negative mood and can also make it difficult to focus on tasks. Some people also experience physical effects of anxiety, such as muscle tension, headaches, or an upset stomach. This lesson will introduce some new ways to deal with worry by changing your thoughts and behavior."
Lesson #12: Anxiety and Worry,3,Understanding Anxiety,"Anxiety is our body's way of preparing for danger. It's often called the ""fight or flight"" response because when we're faced with a dangerous situation, the basic response is to fight back, freeze, or run away. Anxiety can be helpful, like an alarm bell, so we would not want to turn off our anxiety completely. On the other hand, we would be exhausted if our alarm bells were going off all of the time. Before we discuss how to manage these feelings, it is important to distinguish between anxiety, fear, and worry, since for many of us, these may feel like similar emotions. But in fact they are different in important ways:"
Lesson #12: Anxiety and Worry,4,Understanding Anxiety,"Remember the cognitive/behavioral model for depression? The same model applies to anxiety. When we are anxious our thoughts, feelings, and behaviors link together in the same way.

Just like sad emotions often come with unhelpful thoughts, anxiety is also linked to unhelpful thoughts. When we face a situation, we feel anxious when we think that: The situation is threatening to us or to someone or something important to us. We have little (or no) skills or resources to deal with the situation. These unhelpful thoughts cause our anxiety system to set off a false alarm, causing anxiety, worry, and tension."
Lesson #12: Anxiety and Worry,5,Here's an example:,"Imagine you're walking down a path.  A tiger jumps out of the bushes.  How do you feel?  Probably terrified.

Now try it again.  But this time imagine walking down the same path but carrying a large walking stick and a walkie-talkie that connects you with a park ranger.  The tiger jumps out.  How do you feel? Pretty scared, but maybe a little bit better than you did when you didn't have your walking stick or walkie-talkie.

Now one last time... You're on the same path. You have a walking stick and a walkie-talkie.  But you're also with a group of 20 other hikers who all have walking sticks, a trained guide and 3 guards who's job it is to keep the path safe.  A tiger jumps out.  How do you feel?  Maybe scared, but maybe a little excited too.  Not many people get to see a tiger so close!

In these different scenarios, what changed?  Not the risk, because the tiger is the same. What changed is how you're thinking about the situation. You have different resources available to deal with the risk.  In order to deal effectively with anxiety, we need to identify the risk and determine what resources you have to cope.  By fortifying your resources, you can reduce anxiety."
Lesson #12: Anxiety and Worry,6,Identifying Helpful and Unhelpful Anxiety,"When dealing with a tiger, anxiety and fear are a helpful response because they get you ready to fight or run away. However, in most situations in modern life, the actual danger is not so clear cut as a tiger staring into your cave. For example, your boss is not likely to threaten your physical safety, but he may present a different, more subtle kind of threat. In these every day situations, like having problems at work, anxiety arises from unhelpful thoughts that make the situation feel more dangerous than it actually is. In addition, when people feel anxious and perceive danger, they often underestimate the resources they have to cope with the problem. This type of anxiety is unhelpful because it causes a false alarm. The remainder of this lesson will focus on techniques to help you manage anxiety and worry."
Lesson #12: Anxiety and Worry,7,What is the real risk?,"Remember the concept of “Automatic Thoughts.” When people feel anxious and perceive danger, they often have unhelpful automatic thoughts. These thoughts tend to overestimate risk and underestimate the resources they have to cope with the problem. The first step in managing anxiety is to evaluate these thoughts. Is there real risk involved? If you conclude that there is no actual risk, then there is no need for a false alarm. However, if you do determine there is some degree of risk, then your goal is to determine the realistic level of risk and move to step 2: Gather resources to overcome that risk (like, gathering your torches and big sticks)."
Lesson #12: Anxiety and Worry,8,Step 1: Evaluating risk and thoughts,"In addition to estimating the probability of a catastrophic outcome, you can evaluate the realistic level of risk. Here are some questions to ask yourself to help determine your risk:
-    Am I making a problem out of something that's not an immediate problem?
-    Is this situation actually risky or does it just feel that way?
-    What's the evidence that this situation is 100% dangerous?
-    What does this say about me, my life, and my future?
-    What is the worst thing that could happen?
-    What is the best thing that could happen?
-    Am I worrying over something I have no control over?"
Lesson #12: Anxiety and Worry,9,Step 2: Identify your resources to cope,"The last step in managing anxiety is to take a look at what resources we have to cope. We face situations that have some degree of risk each day, but we only have anxiety when that level of risk outweighs our ability to cope. To reduce anxiety, it is helpful to determine all of your resources available to help you cope with the threatening situation. Here are some questions to help you identify your resources:
-  What personal and professional skills do I have to help manage this problem?
-  What have I done to cope with problems like this in the past?
-  Who do I have in my life to help me out?
-  What other people do I have in my life to help me deal with this?
-  How would I cope with this if I wasn't feeling anxious?
-  How would someone else (who isn't anxious) handle the situation?"
Lesson #12: Anxiety and Worry,10,How to manage anxiety when the realistic probability of risk is high?,"In some situations, the realistic risk of a poor outcome is high and you might not be catastrophizing. In these situations, you might need to use some problem-solving strategies and focus on your resources to cope."
Lesson #12: Anxiety and Worry,11,Wrapping Up,"Summary: Anxiety is a normal part of human experience. We all get anxious, however, if you get anxious too often or in situations where no threat actually exists, this can leave you feeling overwhelmed or exhausted overtime. Managing your anxiety involves using the skills you’ve learned so far to decide if the anxiety is helpful or unhelpful and managing unhelpful anxiety when it occurs.

Moving forward: Try using the Thought Tracker to focus on anxiety related thoughts.  Use the risk vs resources concept to develop your helpful thoughts. The more you use the tool, the easier it will be to evaluate your risk from a realistic perspective and focus on your resources to cope with the situation."
Summary #12: Anxiety and Worry,1,,"We can feel anxious if a situation arises that makes us think we are (a) threatened and/or (b) don’t have the skills to deal with that situation. Anxiety and worry are normal parts of our lives, but when we spend too much time worrying it can have negative effects on our mental and physical health. The majority of individuals experiencing depression also experience anxiety, and this excessive anxiety often contributes to a low or bad mood. But just as the cognitive/behavioral model can help combat the negative thoughts associated with depression, it can also be utilized to manage anxiety. First, identify and evaluate the potential risks of the situation (and the probability of their occurrence); second, identify the resources you have to manage the identified risks. This process will help correct any overestimation of risk and underestimation of resources, reducing your anxiety along the way!"
Lesson #13: Relaxation,1,,"This lesson will help you learn how to manage your physical responses to anxiety. A great way to control the sensations of anxiety like a racing heart and muscle tension is through relaxation. You've probably heard how taking a few deep breaths can help you to calm down when you feel nervous The relaxation lesson will teach you the best ways to breath in order to respond to the physical cues of anxiety as well as other techniques to help you stay calm.

In this lesson, you’ll learn:
-    How your body creates and reduces the experience of stress
-    3 different relaxation strategies
-    Tips for practicing these new strategies"
Lesson #13: Relaxation,2,,"Many of the skills in ThinkFeelDo aim to reduce stress by helping you stop it before it starts. However, learning these skills does not mean you’ll never get stressed. Relaxation is a skill that helps after stress occurs. Relaxation skills can be used to manage many problems including stress, depression, anxiety, and sleep problems.

How the body creates and reduces the experience of stress
Our nervous system has two parts- the sympathetic nervous system and the parasympathetic nervous system. These two systems are like an internal thermostat that controls our stress response.
-    The Sympathetic Nervous System is similar to a heating system. When you experience stress, you become aroused and stress hormones are produced. These stress hormones increase the physical reactions to stress like heart rate, breathing, muscle tension, blood pressure, and sweating.
-    The Parasympathetic Nervous System acts as a cooling system. It brings the body reactions back to normal by producing a relaxation response that slows down the heart rate and breathing, relaxes the muscles, and lowers blood pressure."
Lesson #13: Relaxation,3,Experiencing Stress,"Our bodies are biologically programmed to activate the sympathetic nervous system when we confront stressful situations. This system of arousal was very helpful in ancient times. Imagine an early human walking through a jungle. She suddenly sees a huge poisonous snake in her path, and it’s threatening to bite her. Her stress system kicks in, she becomes highly alert, and begins experiencing the following physiological symptoms:
-    heart starts pumping blood to get oxygen to the muscles
-    muscles become tense and ready for action
-    breathing increases to help oxygen flow
-    sweat glands are stimulated
-    blood pressure increases
-    all of the body’s systems are ready for fight or flight.

Today those same stress systems get triggered when you are irritated by traffic, your partner, being put on hold for the third time in a row. In fact, you can even have a stress reaction just by remembering something stressful."
Lesson #13: Relaxation,4,Chronic Stress,"Over time, this physiological response can take a toll on our body if it is repeated on a regular basis. When people experience chronic stress they are at risk for long-term negative health effects. Eventually your adrenal glands start to secret corticoids (adrenaline or epinephrine, and norepinephrine), which inhibit digestion, reproduction, growth, tissue repair, and the responses of your immune and inflammatory systems. In other words, some very important functions that keep your body healthy begin to shut down!"
Lesson #13: Relaxation,5,Reducing Stress,"Just as the sympathetic nervous system turns on the stress response, the parasympathetic nervous system can turn it off. The parasympathetic system allows your body to wind down and recuperate. When the parasympathetic system kicks in, your body begins to experience the following physiological symptoms:
-    Heart rate slows
-    Muscles relax
-    Breathing becomes slower
-    Blood pressure decreases"
Lesson #13: Relaxation,6,How can I learn to relax?,"Next, we will present 3 different relaxation exercises. Not every person will be comfortable with every relaxation method. Although we are only introducing 3 exercises in this module, there are many more relaxation strategies out there that might be beneficial to you."
Lesson #13: Relaxation,7,1. Deep Breathing: ,"Deep breathing involves breathing from the diaphragm, the muscle you hiccup with, to expand your lungs more fully than your usual breathing, which expands only the chest. The best way to notice that difference between deep breathing and chest breathing is to sit in a comfortable position and put one hand on your chest and one hand on your stomach. Slowly inhale through your nose. As you inhale, focus on expanding your stomach, almost as though you’re inflating a balloon in your abdomen, while keeping your chest as stationary as possible. The hand on your stomach should be moving in and out, while the hand on your chest barely moves. Slowly exhale the breath through your mouth and try again."
Lesson #13: Relaxation,8,2. Progressive Muscle Relaxation (PMR):,"Ever felt like your body was more relaxed after being very physically active? This technique is based on the idea that you can achieve greater relaxation after you’ve worked a muscle than you otherwise would have. PMR involves alternately tensing and relaxing muscles in order to learn the process of experiencing tension and then releasing it. Try moving through all the muscle groups, from your face down to your feet, and purposefully tense and release each muscle group. Note that, as you’re focusing your attention on muscle groups, your attention may also be drawn to any pain in the muscles. In general, it’s a good idea to skip over the muscles in any part of your body that are feeling pain as well as tension."
Lesson #13: Relaxation,9,3. Visualization:,"This technique encourages you to focus on a specific image or place. A common visualization exercise involves imagining a relaxing place. This might be a beach, or a forest, or even your own backyard. The goal is to imagine this place in great detail and to incorporate all five of your senses when picturing this lovely place. What would you see, hear, taste, smell, and feel? The more detail you can build into your visualization, the more effective it can be in helping you relax.

 "
Lesson #13: Relaxation,10,,"For all these types of relaxation, it’s a good idea to practice them, at least a few times, with as few distractions as possible. Find a quiet place where others won’t disturb you. Often it helps to practice these exercises with your eyes shut or, if that bothers you, open and greatly defocuse. Arranging your body comfortably can also be helpful: sitting in a comfortable chair or on a soft rug, or lying down on a bed, is often preferred. Finally, remember that relaxation is something to be learned and practiced; be okay with starting each of these exercises slowly (2-3 minutes) and working your way to longer practices from there. After you’ve practiced these techniques and gotten better at doing them it will be easier to use them in real-world stressful situations."
Lesson #13: Relaxation,11,Relaxation Exercises,"As you can see from these three exercises, relaxation comes in many forms. What they have in common is focused attention and controlled breathing. As stated at the beginning of this chapter, the most important parts of relaxation are finding out what method works best for you and using it regularly. Other forms of relaxation that may be helpful for you are mindfulness meditation, yoga, exercise, and prayer, such as focusing on a particular religious passage that provides you with comfort. Select a relaxation strategy that sounds like it might work for you and give it a try!

Tips for Practicing
-    You can monitor your response to the different relaxation exercises by keeping a log. Doing this will help you monitor your progress and see how relaxation can reduce your tension.

-    To keep track of how you feel before and after your relaxation exercises, rate your tension before and after the exercise using a ten-point scale where 1 = no tension and 10 = as tense as one could possibly feel."
Lesson #13: Relaxation,12,Wrapping Up,"Summary: This stress response and our recovery from it are controlled by two parts of the nervous system. Together, these systems should help you respond to stressful situations and cool you down when the stressful situation has passed. Unfortunately, repeated or chronic stress can break the thermostat, leaving you feeling stressed much of the time.  Relaxation is a way of manually resetting the biological thermostat and getting the cooling system going. Deep breathing, progressive muscle relaxation, and visualization, among others, are good exercises for learning and practicing relaxation skills.

Moving Forward: This week you learned how relaxation can help improve your mood and decrease stress and anxiety. Plan some times to practice relaxation within the next week – if you can practice daily that would be great! You can use the Activity Tracker to schedule times to practice relaxation.   "
Summary #13: Relaxation,1,,"Practicing relaxation and mindfulness is necessary in maintaining a healthy body, mind, and spirit, and it can help manage stress, depression, anxiety, and sleep. Our nervous system is made up of two smaller systems: (1) the sympathetic and (2) the parasympathetic. Both influence the way our bodies respond to stress. They work together and are controlled by an internal ""thermostat."" The sympathetic nervous system turns up the thermostat, so our bodies can respond to a stressful situation. This is called the ""Stress Response."" The parasympathetic nervous system turns down the thermostat, so our bodies can adjust back to normal after the stressful situation ends. This is called the ""Relaxation Response."" Experiencing stress is natural and can be useful.  Acute stress is a reaction that cools down quickly (e.g., experiencing a fender bender) and is useful for handling stressful situations. Chronic stress occurs when you are frequently/continually stressed, which can cause your thermostat to break. Your parasympathic nervous system can no longer cool you down. This can leave you stressed much of the time, even when nothing threatening is occurring. The following are 3 relaxation techniques to manage stress: deep breathing, progressive muscle relaxation (PMR), and visualization. "
Lesson #14: Mindfulness,1,,"Mindfulness is about learning to focus our attention in a non judgmental way and figuring out how to let go of negative thoughts and feelings. Anxiety is often triggered by thinking about things that might happen in the future. Mindfulness combats that by teaching you to stay “in the moment.”

In this lesson, you’ll learn:
-  What mindfulness is and how it can be helpful
-  Specific types of mindfulness skills to help you cope with distress
-  How to practice these skills"
Lesson #14: Mindfulness,2,,"Basically, mindfulness helps us balance two extremes - acting without awareness in unhelpful ways and taking a judgmental stance toward our experiences. Instead, we can learn to notice and observe our internal experiences, like thoughts and feelings, seeing them as they are while accepting things we cannot control and bringing our attention to the present and what needs to be addressed. Learning to use mindfulness can allow us avoid extremes and adopt a more balanced perspective."
Lesson #14: Mindfulness,3,What is Mindfulness?,"In this lesson we will talk about the role of awareness in the process of helping you lead a healthier life. This process of awareness, or as we will call it, mindfulness, is essentially the process of focusing our attention in a nonjudgmental way on what is happening inside and around us in the present moment. Usually we live our lives focused on what will come in the future - for example with worries and anxiety about what is to come, or focused on the past - for example with depression when we replay mistakes and upsetting events over and over in our minds. We can spend all this time looking at what has not happened yet or what cannot be changed in the past while not being focused on what is right before us in the present. Often we do this automatically, without really paying attention to what we are doing."
Lesson #14: Mindfulness,4,How can Mindfulness be helpful?,"It’s often helpful to be able to do things automatically, without thinking about them, for instance riding a bike is much easier when you don’t have to think about maintaining your balance or turning the pedals. However, this tendency to do things automatically can also be problematic. We can develop unhealthy habits or lose sight of what we care about. And sometimes, when we pay close attention to our experiences we can become judgmental or critical of them. For instance, we might evaluate our performance at work or in some other role with thoughts like “I am so stupid”, “I completely messed that up”, or “I am such a loser, I know I’ll fail”. This focus on judgment can intensify how badly we feel and lead us away from dealing with the problem at hand."
Lesson #14: Mindfulness,5,Origins and Applications of Mindfulness,"Mindfulness has its origins in the ancient practice of Buddhist meditation. However, using mindfulness skills does not have to involve religious practice. In fact, over the past several decades, mindfulness has become the focus of extensive scientific research. Mindfulness can be useful for a variety of health and medical problems including depression, anxiety, chronic pain, management of stress, insomnia and heart disease, high blood pressure, autoimmune disease, and more. In fact, researchers are studying the effects of mindfulness on the functioning of the brain in order to understand how the positive effects on health are created. So although these are ancient skills, mindfulness appears to be a research-supported method of helping you feel better."
Lesson #14: Mindfulness,6,"Mindfulness is not some kind of ""trick""","It is an evidence-based technique that can be used to help with lots of problems, depression among them. Recent research shows that practicing mindfulness is related to changes in the way the brain works. Areas of the brain related to emotion are less active the more people practice mindfulness. Mindfulness practice may help people better regulate the emotional parts their brains. Let’s turn to learning about specific kinds of mindfulness skills and practicing some."
Lesson #14: Mindfulness,7,Basic Mindfulness Skills,"The goal of using mindfulness in this lesson is different from the goals of most of the other lessons in ThinkFeelDo. Many other lessons have focused on specific skills to reduce depression. The focus of this module is on helping you to “step out of” or let go of unhelpful automatic ways of thinking so that you can be more effective in your life. The focus is not specifically on reducing or getting rid of unpleasant feelings such as sadness, anxiety, or anger. Instead, mindfulness might reduce these feelings by not giving too much power to them. If this seems confusing, we ask that you give it a try and see what it is like."
Lesson #14: Mindfulness,8,Goals of Mindfulness,"Since we will not focus on decreasing unpleasant feelings, you may be wondering “What am I going to be learning?”. There are a number of goals that we will help you to reach in this life lesson. First, as we mentioned before, using mindfulness will help you be in a state of focused attention in the present moment. Second, you will develop more awareness of your thoughts, feelings, and physical sensations. It is through increased awareness that we can begin to let go of them. Third, we will help you to become more of a “detached observer” who is more accepting of your experiences."
Lesson #14: Mindfulness,9,,"We will help you learn mindfulness not just by explaining and describing it, but by asking you to learn by doing it. Visit your Connect Discussion question so that you can try out a few exercises. That will help you practice!

Keep these questions in mind as you proceed:
1.    Did you notice your mind pulling you away from what you were focusing on?
2.    Were you able to bring your attention back?"
Lesson #14: Mindfulness,10,More on Mindfulness,"If you have had experience with mindfulness practice before, perhaps this lesson has been a review for you. However, if this is your introduction to mindfulness, we hope that this has been helpful and has at the very least made you interested in doing more. At this point it is helpful to recall the goals of doing this lesson. Remember, mindfulness is all about developing and focusing awareness of your experience in the current moment. It is not about decreasing or getting rid of unpleasant experiences. Keep in mind that a key part of depression, and many other problems, is feeling stuck in negative emotions and thoughts. And when we are stuck in these experiences it is hard to take the action that we need to solve problems and do the meaningful things in life. Mindfulness is a way to help you get unhooked from these experiences and take action. Like other skills you have learned in ThinkFeelDo, mindfulness requires practice. The more you do it, the easier it will get. And the better you will be at focusing awareness. One of the great things about practicing mindfulness is that you can be mindful of almost anything! "
Lesson #14: Mindfulness,11,Practice being mindful!,"Be mindful while doing the following:
-    eating
-    sitting in a chair
-    taking a shower, notice the temperature of the water, what the soap feels like, etc
-    drinking your favorite beverage
-    while standing, notice sensations
-    taking a walk, notice all aspects of the activity
-    writing, either with your hand or on a keyboard
-    listening to music
-    doing the dishes

There is almost no end to the things we can be more mindful about."
Lesson #14: Mindfulness,12,Wrapping Up,"Summary: Mindfulness is a skill that involves becoming more focused on the present moment. Mindfulness is about letting go of thoughts about the past and future and adopting a nonjudgmental stance. Mindfulness can be hard at first, but because it can be applied to almost anything, we have many opportunities to practice mindfulness.

Moving forward: This week you learned how mindfulness can help improve your mood and decrease depression. Plan some times to practice mindfulness within the next week – if you can practice daily that would be great!  You may not even need to add a new activity.  Try being more mindful during an activity you already do (like taking a shower, eating breakfast, doing the dishes). You could use the Activity Tracker to schedule your mindfulness activites.  

 "
Summary #14: Mindfulness,1,,"Mindfulness is a Buddhist meditation practice now supported by research to help manage emotions. Mindfulness helps you (1) be in a state of focused attention in the moment, (2) develop awareness of your thoughts, feelings, and physical sensations to begin to let go of troubling responses, and (3) be a “detached observer”, becoming more accepting of your experiences. A key part of depression is feeling stuck in negative emotions and thoughts. It can be difficult to take action to solve problems and do meaningful things in life. Mindfulness helps you get unhooked from these experiences."
Lesson #15: Managing Anger,1,,"Depression is not just about feeling sad or losing interest in things. When people are feeling down or depressed they can frequently feel irritable, finding that even little things get on their nerves, or find they are frequently getting into arguments with others. While these feelings are not necessarily a problem if they occur occasionally, frequent or chronic anger can have important negative consequences for you and others. So in this lesson we will help you learn how to decrease your anger so you feel better.

In this lesson, you’ll learn:
-    The costs and benefits of anger
-    How your thinking contributes to anger
-    Specific skills for coping with and decreasing anger"
Lesson #15: Managing Anger,2,The costs and benefits of anger,"The Short Term Benefits of Anger
Getting angry may seem like it provides you with some benefits: Anger can be a way to release tension. You are frustrated or annoyed with others so you yell, break things, or criticize. You feel better, but only temporarily. You get irritated again. Anger can get the attention of others so you feel like you are being taken seriously or being heard or respected. However, others can get annoyed by this and gradually shut you out even more. Anger is often easier to cope with than feelings of sadness, hurt, or shame, which may be under the surface. But avoiding these other feelings won't make them better. The feelings can get worse. Getting angry at someone for their mistakes can make us feel like we are getting even or making things fair. They hurt you, you hurt them. But is making enemies what you really want? So while anger may help you feel better immediately, it can end up creating much bigger and more long-term problems. Let's look now at some additional costs of anger."
Lesson #15: Managing Anger,3,Costs of Anger,"Physiological Costs: Anger is not good for your health. Decades of medical research have shown that chronic anger and hostility have been linked to high blood pressure (hypertension) and heart disease. Chronic anger is related to more use of alcohol.

Emotional and Interpersonal Costs: Research over the past several decades has shown that chronic anger damages personal relationships with family and friends. It keeps others away so people feel lonely and don't get the support they need. It can damage work relationships and performance."
Lesson #15: Managing Anger,4,How your thinking contributes to anger: Understanding events and cues that trigger anger,"Often, emotions, including anger, seem to come out of nowhere. We may suddenly feel a strong surge of anger but not understand where it came from. Anger does not appear out of nowhere. We feel it because something in our lives has triggered it. If we become more aware of the events that can trigger our anger, we can do more to manage it rather than have anger manage us.

Sensitive issues: We often get angry because an event has touched on a sensitive issue in our lives. For example, someone who was teased and ridiculed by others while growing up may be more likely to respond with anger to negative comments about his work performance. Anger may be a ""red flag"" for this person to start thinking that they are being judged or attacked.

Recollection of a past event: Thinking about something that happened in the past can be enough to trigger anger now. For instance, if someone is meeting a friend out for lunch and the friend is not there, the person may start getting angry just thinking about past situations where others were late or did not show up for a planned get together."
Lesson #15: Managing Anger,5,Understanding Cues to Anger,"It is important to be aware of cues or warning signs that your anger is growing...

Physical: You may notice physical sensations that signal our bodies' response to anger. Common sensations are an increase in heart rate, chest tightness, increased rate of breathing, and a warm or flushed feeling.

Behavioral: Our behavior changes when anger is growing. We may raise our voices or ""snap"" at others. We may start slamming doors or become physically destructive. Also, we may clench our fists or find it difficult to sit or stand still. We may become more active than usual or behave in aggressive ways."
Lesson #15: Managing Anger,6,Understanding Cues to Anger,"Emotional: When we feel angry, we often feel other emotions as well. These other emotions may be important reactions to the event that triggered your anger. And they can be helpful cues to you that your anger is growing. Important emotional cues include feeling anxious, impatient, rejected, abandoned, guilty, insecure, or jealous.

Thinking: Our thinking changes when we are angry. We begin to interpret situations in specific ways. For example, if we interpret the feedback of others as blame for a mistake, then we are more likely to become angry. We may ""talk to ourselves"" with our thinking. This thinking is often hostile and critical. Additionally, we have images or desires that enter our minds that signal an increase in anger. For example, we may start making plans for revenge against someone we believe has hurt us."
Lesson #15: Managing Anger,7,Understanding Your Angry Thinking,"As you have learned before, our emotions have a lot to do with our thinking. Whether it be sadness, worry, or anger, these emotions are fueled by what is going through our mind at the time. And just as with other emotions common to depression, such as sadness, there tend to be characteristic ways of thinking that can give rise to anger. Let's learn about these ways of thinking now."
Lesson #15: Managing Anger,8,Angry Unhelpful Thoughts,"Our angry thoughts tend to be characterized by a basic formula:
1.    You believe or sense that you are being threatened or harmed in some way.
2.    You believe that someone has violated “the rules” - that what they have done is wrong and should not have happened.
3.    There is usually a sense that the other person intended to harm you on purpose or deliberately.

1+2+3 = Anger

This is the “formula” for anger. Just like when you are feeling sad or depressed, while these unhelpful thoughts may be true some of the time, often, these thoughts are not true or are exaggerated. They also don’t help you solve the problem."
Lesson #15: Managing Anger,9,Understanding the Formula for Angry Unhelpful Thoughts,"Here is an example of how to break down your angry thought using the formula:

Angry Unhelpful Thought: “This is ridiculous that my wife left the gas tank practically on empty even though she drove the car last! Now I have to do it.”

1) Belief that you are being threatened or harmed in some way

Threat = having to get the gas

2) Belief that someone has violated “the rules”
Violated Rule = She drove the car last so she should fill up the tank
 

3) Harmful intention
Intention = She knew she would be expected to fill up the tank but left it for you"
Lesson #15: Managing Anger,10,The Anger Formula: Another Example,"Angry Unhelpful Thought: “They keep dumping all of this extra work for me to do on this new big project. I’m so sick of them doing this!”
1) Threat = Having to do more work
2) Violated Rules = It’s their work and they are supposed to do it
3) Intention = They know it is theirs to take care of but they are trying to get out of their responsibilities.

Understanding this formula assists you in identifying the thoughts or the expectations that lead you to feel angry."
